Mes,Anio,RAZON SOCIAL,MASCULINO,FEMENINO
Enero2009,other,120,9925.96,14425.22
Febrero2009,other,454.76,14283.19,11880.24
Marzo2009,other,70.86,35828.5400000002,21847.6600000002
Abril2009,other,15,12987.37,19132.58
Mayo2009,other,15,18116.48,14648.48
Junio2009,other,135,18392.91,13315.54
Julio2009,other,15,23746.42,23174.59
Agosto2009,other,30,20953.53,23560.71
Setiembre2009,other,15,21029.23,26701.48
Octubre2009,other,15,23201.06,21872.69
Noviembre2009,other,15,24880.07,17955.27
Diciembre2009,other,15,19727.3,21758.45
Enero2010,other,15,17535.4,22588.08
Febrero2010,other,15,14991.52,14524.79
Marzo2010,other,59.79,17322.75,20798.97
Abril2010,other,15,8919.49,16250
Mayo2010,other,15,17120.78,19142.02
Junio2010,other,688.02,8705.1,16308.71
Julio2010,other,15,14693.24,18221.51
Agosto2010,other,15,11490.04,20320.71
Setiembre2010,other,0,30039.43,26409.34
Octubre2010,other,0,23620.18,42388.59
Noviembre2010,other,0,20388.58,17345.11
Diciembre2010,other,80,20240.56,21893.95
Enero2011,other,0,13869.97,16818.92
Febrero2011,other,0,14247.55,14924.61
Marzo2011,other,0,23663.69,30458.6
Abril2011,other,0,11839.28,13356.15
Mayo2011,other,48,27693.8,22583.29
Junio2011,other,0,17188.97,17442.74
Julio2011,other,0,19538.81,16970.87
Agosto2011,other,0,24218.62,24949.59
Setiembre2011,other,200,17729.76,30183.38
Octubre2011,other,0,19020.28,46887.51
Noviembre2011,other,0,27121.72,28189.93
Diciembre2011,other,0,30117.96,30005.7
Enero2012,other,0,18522.25,18771.03
Febrero2012,other,0,19996.33,17681.08
Marzo2012,other,0,14479.92,19535.25
Abril2012,other,0,18039.39,17766.52
Mayo2012,other,0,16174.66,23893.5
Junio2012,other,0,21645.95,24786.58
Julio2012,other,0,22893.28,24434.25
Agosto2012,other,0,13224.91,13112.31
Setiembre2012,other,0,19400.17,22467.86
Octubre2012,other,0,19465.11,22355.51
Noviembre2012,other,0,18763.21,17797.71
Diciembre2012,other,0,33550.14,31074.54
Enero2013,other,0,17335.81,29181.18
Febrero2013,other,0,15364.71,13097.2
Marzo2013,other,0,14058.58,13050.62
Abril2013,other,0,11651.52,18046.15
Mayo2013,other,0,8812.5,31534.68
Junio2013,other,0,15628.45,13716.82
Julio2013,other,0,13716.23,23046.56
Agosto2013,other,0,26293.91,17425.76
Setiembre2013,other,0,30963.11,31947.44
Octubre2013,other,15,22037.03,14518.72
Noviembre2013,other,0,14151.98,13329.9
Diciembre2013,other,3000,13873.57,21905.5
Enero2014,2014,3000,16685.85,22847.15
Febrero2014,2014,913.74,68645.68,14298.65
Marzo2014,2014,45,19167.81,17831.59
Abril2014,2014,0,15822.33,24842.86
Mayo2014,2014,155.26,19513.24,24958.44
Junio2014,2014,30,21359.62,28026.2
Julio2014,2014,15,21554.37,19215.62
Agosto2014,2014,124.98,31100.53,18228.72
Setiembre2014,2014,1430,18229.67,19741.86
Octubre2014,2014,330,70744.91,34391.1
Noviembre2014,2014,0,30258.99,16433.74
Diciembre2014,2014,60,14526.85,20604.84
Enero2015,other,0,38577.05,23344.71
Febrero2015,other,45,25049.86,13956.89
Marzo2015,other,530,21262.03,22405.22
Abril2015,other,60,22445.79,14664.9
Mayo2015,other,145,26208.47,20895.3
Junio2015,other,571.01,29404.12,37894.64
Julio2015,other,145,16927.35,23502.05
Agosto2015,other,248.07,32769.3,20872.72
Setiembre2015,other,1427,45713.19,23699.57
Octubre2015,other,45,46379.37,58555.84
Noviembre2015,other,140.1,35922.4,32168.24
Diciembre2015,other,75,23683.93,23227.41
Enero2016,other,360,40497.95,31754
Febrero2016,other,2145,26340.12,25303.12
Marzo2016,other,1160,46496.51,45666.96
Abril2016,other,9870,28737.23,29489.41
Mayo2016,other,165,18943.31,40599.38
Junio2016,other,89.93,16999.74,29616.78
Julio2016,other,90,17169.4,15130.27
Agosto2016,other,110,15310.88,19480.67
Setiembre2016,other,916.04,16942.23,9568.7
Octubre2016,other,63.62,20751.37,62216.89
Noviembre2016,other,82.67,22292.72,26568.27
Enero2017,other,30,49692.57,6363.2
