distrito,suma
"ALTO SELVA ALEGRE",20027.250000000004
AREQUIPA,182475.19999999995
CAYMA,7728.429999999999
"CERRO COLORADO",19804.459999999992
CHARACATO,7437.03
CHIGUATA,336.19000000000005
"JACOBO HUNTER",9222.749999999998
"JOSE LUIS BUSTAMANTE Y RIVERO",26794.300000000007
MAJES,287.94
"MARIANO MELGAR",7881.51
MIRAFLORES,22327.499999999996
PAUCARPATA,54795.11000000001
SABANDIA,1371.99
SACHACA,2267.28
SOCABAYA,13014.919999999998
TIABAYA,1033.6399999999999
UCHUMAYO,2298.58
YANAHUARA,13199.099999999999
YURA,334.13
